Name,Description,IMDB_100_output
Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",[das] [cabinet] [des] [dr] [caligari] [hypnotist] [dr] [caligari] [us] [a] [somnambulist] [cesare] [to] [commit] [murder]
Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,[nosferatu] [vampire] [count] [orlok] [express] [interest] [in] [a] [new] [residence] [and] [real] [estate] [agent] [hutters] [wife]
Safety Last!,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,[safety] [last] [a] [boy] [leaf] [his] [small] [country] [town] [and] [head] [to] [the] [big] [city] [to] [get] [a] [job] [a] [soon] [a] [he] [make] [it] [big] [his] [sweetheart] [will] [join] [him] [and] [marry] [him] [his] [enthusiasm] [to] [get] [ahead] [lead] [to] [some] [interesting] [adventure]
The Gold Rush,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",[the] [gold] [rush] [a] [prospector] [go] [to] [the] [klondike] [during] [the] [1890s] [gold] [rush] [in] [hope] [of] [making] [his] [fortune] [and] [is] [smitten] [with] [a] [girl] [he] [see] [in] [a] [dance] [hall]
The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",[the] [general] [after] [being] [rejected] [by] [the] [confederate] [military] [not] [realizing] [it] [wa] [due] [to] [his] [crucial] [civilian] [role] [an] [engineer] [must] [singlehandedly] [recapture] [his] [beloved] [locomotive] [after] [it] [is] [seized] [by] [union] [spy] [and] [return] [it] [through] [enemy] [line]
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",[metropolis] [in] [a] [futuristic] [city] [sharply] [divided] [between] [the] [working] [class] [and] [the] [city] [planner] [the] [son] [of] [the] [city] [mastermind] [fall] [in] [love] [with] [a] [workingclass] [prophet] [who] [predicts] [the] [coming] [of] [a] [savior] [to] [mediate] [their] [difference]
Sunrise: A Song of Two Humans,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme.",[sunrise] [a] [song] [of] [two] [humans] [a] [sophisticated] [urban] [woman] [seduces] [a] [farmer] [in] [the] [hope] [that] [he] [will] [murder] [his] [neglected] [wife] [and] [join] [her] [in] [the] [city] [but] [he] [end] [up] [rekindling] [his] [romance] [with] [his] [wife] [when] [she] [discovers] [their] [scheme]
"Steamboat Bill, Jr.",The effete son of a cantankerous riverboat captain comes to join his father's crew.,[steamboat] [bill] [jr] [the] [effete] [son] [of] [a] [cantankerous] [riverboat] [captain] [come] [to] [join] [his] [father] [crew]
The Cameraman,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire.",[the] [cameraman] [hopelessly] [in] [love] [with] [a] [woman] [working] [at] [mgm] [studio] [a] [clumsy] [man] [attempt] [to] [become] [a] [motionpicture] [cameraman] [to] [be] [close] [to] [the] [object] [of] [his] [desire]
La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",[la] [passion] [de] [jeanne] [darc] [in] [1431] [jeanne] [darc] [is] [placed] [on] [trial] [on] [charge] [of] [heresy] [the] [ecclesiastical] [jurist] [attempt] [to] [force] [jeanne] [to] [recant] [her] [claim] [of] [holy] [vision]
